--- Averaged Diabatic State Populations (1280 good trajectories) ---
Time            P0_dia_avg              P1_dia_avg
0.000000                1.000000                0.000000
0.006061                1.000000                0.000000
0.012121                1.000000                0.000000
0.018182                1.000000                0.000000
0.024242                1.000000                0.000000
0.030303                1.000000                0.000000
0.036364                0.999197                0.000803
0.042424                0.999194                0.000806
0.048485                0.999192                0.000808
0.054545                0.999186                0.000814
0.060606                0.999181                0.000819
0.066667                0.997535                0.002465
0.072727                0.995885                0.004115
0.078788                0.995868                0.004132
0.084848                0.994200                0.005800
0.090909                0.994157                0.005843
0.096970                0.993311                0.006689
0.103030                0.989941                0.010059
0.109091                0.989011                0.010989
0.115152                0.988136                0.011864
0.121212                0.984668                0.015332
0.127273                0.984642                0.015358
0.133333                0.984563                0.015437
0.139394                0.983607                0.016393
0.145455                0.980952                0.019048
0.151515                0.980886                0.019114
0.157576                0.979913                0.020087
0.163636                0.979754                0.020246
0.169697                0.977915                0.022085
0.175758                0.977837                0.022163
0.181818                0.977698                0.022302
0.187879                0.975785                0.024215
0.193939                0.974775                0.025225
0.200000                0.970270                0.029730
0.206061                0.967538                0.032462
0.212121                0.965580                0.034420
0.218182                0.963702                0.036298
0.224242                0.960945                0.039055
0.230303                0.958029                0.041971
0.236364                0.954254                0.045746
0.242424                0.953168                0.046832
0.248485                0.950368                0.049632
0.254545                0.946593                0.053407
0.260606                0.944496                0.055504
0.266667                0.940520                0.059480
0.272727                0.938375                0.061625
0.278788                0.933830                0.066170
0.284848                0.930776                0.069224
0.290909                0.926099                0.073901
0.296970                0.923872                0.076128
0.303030                0.919584                0.080416
0.309091                0.916509                0.083491
0.315152                0.913333                0.086667
0.321212                0.907021                0.092979
0.327273                0.905354                0.094646
0.333333                0.903846                0.096154
0.339394                0.902415                0.097585
0.345455                0.900194                0.099806
0.351515                0.895146                0.104854
0.357576                0.894737                0.105263
0.363636                0.891945                0.108055
0.369697                0.892186                0.107814
0.375758                0.889219                0.110781
0.381818                0.884692                0.115308
0.387879                0.881592                0.118408
0.393939                0.875622                0.124378
0.400000                0.873621                0.126379
0.406061                0.869960                0.130040
0.412121                0.864783                0.135217
0.418182                0.861616                0.138384
0.424242                0.858300                0.141700
0.430303                0.856275                0.143725
0.436364                0.851665                0.148335
0.442424                0.849134                0.150866
0.448485                0.843017                0.156983
0.454545                0.836382                0.163618
0.460606                0.835714                0.164286
0.466667                0.831633                0.168367
0.472727                0.830092                0.169908
0.478788                0.827160                0.172840
0.484848                0.822430                0.177570
0.490909                0.817048                0.182952
0.496970                0.814776                0.185224
0.503030                0.806418                0.193582
0.509091                0.803313                0.196687
0.515152                0.798554                0.201446
0.521212                0.795031                0.204969
0.527273                0.790456                0.209544
0.533333                0.787500                0.212500
0.539394                0.782383                0.217617
0.545455                0.779167                0.220833
0.551515                0.775234                0.224766
0.557576                0.768191                0.231809
0.563636                0.761954                0.238046
0.569697                0.757544                0.242456
0.575758                0.754697                0.245303
0.581818                0.748441                0.251559
0.587879                0.742976                0.257024
0.593939                0.740042                0.259958
0.600000                0.737722                0.262278
