Ground state energy (a.u.):
	-1020.2977792524
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1054508165	   0.0085025492	  -0.1832859502
Total excited state gradient (Hartree/Bohr):
	Atom	dE/dX	dE/dY	dE/dZ
    1      -0.0033217821       0.0058928994      -0.0039094051
    2      -0.0019984217      -0.0025918669       0.0042349782
    3       0.0036128990      -0.0030549623      -0.0004294100
    4       0.0017518242       0.0026325069       0.0016968914
    5       0.0012837568       0.0114114692      -0.0010293812
    6      -0.0030714844      -0.0010235689      -0.0041098755
    7      -0.0027296993      -0.0034731593       0.0033746029
    8       0.0033849303      -0.0043364815      -0.0005717313
    9       0.0058487263      -0.0174017031       0.0158845668
   10       0.0055291565       0.0031925828      -0.0136728320
   11      -0.0108169069      -0.0066358218      -0.0009739693
   12       0.0070554280       0.0041511561      -0.0067124038
   13      -0.0224913715       0.0061203469       0.0063099782
   14      -0.0101581208      -0.0080164126       0.0081933184
   15       0.0219920305       0.0028317828      -0.0085523913
   16      -0.0047784532       0.0044152398      -0.0038122177
   17      -0.0131553716      -0.0045918084      -0.0077895075
   18      -0.0012454594      -0.0015391115      -0.0020371474
   19       0.0282116649       0.0682457812      -0.0365077881
   20      -0.0034896569      -0.0513879565       0.0657899735
   21      -0.0122462573      -0.0445871142       0.0379640002
   22       0.0049562360       0.0029962175       0.0024341011
   23       0.0025350957       0.0383697671      -0.0409188244
   24       0.0027604310       0.0035898674      -0.0034397394
   25       0.0142054983       0.0060452124       0.0427404552
   26      -0.0132179704       0.0051135559      -0.0127995769
   27       0.0187046369      -0.0596155696      -0.0337123203
   28       0.0045905738       0.0274248129      -0.0012058414
   29      -0.0018999479       0.0012194304       0.0015492454
   30      -0.0004142550       0.0019600992      -0.0025998351
   31      -0.0043578643      -0.0034624935       0.0023053019
   32       0.0021564197       0.0043400349      -0.0027203028
   33      -0.0022045670      -0.0046185876       0.0011532991
   34      -0.0024948252      -0.0036934328      -0.0032957720
   35      -0.0292666658       0.0137261906       0.0044414014
   36       0.0050766418      -0.0020221144       0.0010796441
   37       0.0081681411       0.0044200265       0.0042660146
   38       0.0015217163      -0.0022943206      -0.0012168574
   39      -0.0002952477       0.0009524147      -0.0062062821
   40      -0.0032945519       0.0049458639      -0.0005602661
   41      -0.0031720976      -0.0014491730      -0.0000991270
   42       0.0016346384      -0.0040460805      -0.0044550113
Excitation energy (eV):
	Root	Energy
	   1	3.235281328365730
	   2	3.731841234305140
Unrelaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	0.082093068569722	2.396490035809915	20.293559450512848	 20.4347
	   2	-6.720433378835275	-12.920441044598004	17.215012133989688	 22.5490
Relaxed excited state dipole moments (Debye):
	Root	Dx	Dy	Dz
	   1	-2.280394153726732	2.608579498785440	16.089078588401776	 16.4579
Transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	0.103935895899135	-0.045039480846490	0.105027497343696	  0.1545
	   2	0.047229699486644	-0.034727891187314	-0.028174623514648	  0.0650
Transition dipole moments between excited states (a.u.):
	Transition	Tx	Ty	Tz
	   1 ->    2	-0.100758137192262	-0.094373690453195	0.062417846639588	  0.1515
Velocity form of transition dipole moments (a.u.):
	Root	Tx	Ty	Tz
	   1	0.023643603742024	-0.015468194969412	-0.013870663158093	  0.0315
	   2	0.006405892075390	-0.000357464559750	-0.004345000913601	  0.0077
Magnetic transition dipole moments (a.u.):
	Root	Lx	Ly	Lz
	   1	0.196386534387473	0.009262491125097	-0.017405661747891	 -0.0182	  0.0399
	   2	0.006298245587703	0.017670796268144	-0.055534477731066	 -0.0012	  0.0020
